Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 143,CCCCCCC(c1cc(OC(=O)/C=C/C(=O)O)c(c(c1)O)[C@H]1CC(=O)[C@H]2C[C@@H]1C2(C)C)(C)C,C28H38O6,470.60,34,6,0.61,11,6,2,133.31,100.90,3.79,6.58,5.91,3.85,6.18,5.26,-6.31,2.32e-04,4.92e-07,Poorly soluble,-8.50,1.49e-06,3.18e-09,Poorly soluble,-5.96,5.12e-04,1.09e-06,Moderately soluble,Low,No,Yes,No,No,Yes,No,Yes,-4.50,0,3,1,1,1,0.56,0,2,3,5.69
Molecule 144,O=CN(/C(=C(\SC(=O)c1ccccc1)/CCOP(=O)(O)O)/C)Cc1cnc(nc1N)C,C19H23N4O6PS,466.45,31,12,0.26,11,8,3,117.60,191.05,1.52,0.52,2.49,0.21,1.10,1.17,-2.62,1.12e+00,2.40e-03,Soluble,-4.10,3.68e-02,7.89e-05,Moderately soluble,-3.70,9.29e-02,1.99e-04,Soluble,Low,No,Yes,No,No,No,No,No,-8.78,0,0,2,1,1,0.11,0,3,2,4.05
Molecule 145,Fc1cccc(c1)C1=N[C@H](NC(=O)[C@@H]([C@@H](C(=O)N)CCC(F)(F)F)CCC(F)(F)F)C(=O)Nc2c1cccc2C,C26H25F7N4O3,574.49,40,12,0.38,12,11,3,137.32,113.65,2.89,4.83,6.76,3.12,6.43,4.81,-5.87,7.67e-04,1.33e-06,Moderately soluble,-6.95,6.45e-05,1.12e-07,Poorly soluble,-8.96,6.23e-07,1.08e-09,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-6.38,1,3,1,1,1,0.55,0,0,3,5.11
Molecule 146,CCCCCCCCc1ccc(cc1)CCC(CO)(CO)N,C19H33NO2,307.47,22,6,0.68,12,3,3,94.32,66.48,3.76,4.16,3.20,3.01,4.62,3.75,-3.78,5.14e-02,1.67e-04,Soluble,-5.26,1.67e-03,5.44e-06,Moderately soluble,-5.76,5.32e-04,1.73e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-5.22,0,0,1,0,0,0.55,0,0,2,2.27
Molecule 147,O=C(NCC(=O)O)CCC[P@@](=O)(OCc1ccc(cc1)[N+](=O)[O-])O,C13H17N2O8P,360.26,24,6,0.38,11,8,3,84.76,168.56,1.04,-0.54,1.13,-0.45,-1.65,-0.09,-1.19,2.31e+01,6.42e-02,Very soluble,-2.53,1.06e+00,2.95e-03,Soluble,-2.31,1.76e+00,4.88e-03,Soluble,Low,No,No,No,Yes,No,No,No,-8.88,0,0,2,1,1,0.11,0,3,2,3.60
Molecule 148,CCCCCCCCCCCCCCCCOCCCOP(=O)(CO[C@@H](Cn1cnc2c1ncnc2N)C)O,C28H52N5O5P,569.72,39,9,0.82,25,8,2,159.82,144.42,5.10,6.69,6.87,1.88,5.38,5.18,-6.11,4.45e-04,7.80e-07,Poorly soluble,-9.53,1.70e-07,2.98e-10,Poorly soluble,-8.30,2.84e-06,4.99e-09,Poorly soluble,Low,No,No,No,No,No,No,Yes,-5.03,1,4,2,2,2,0.55,0,1,3,6.14
Molecule 149,O=c1[nH]c(=O)n(cc1C)[C@H]1C[C@@H]([C@H](O1)COP(=O)(O)O)OP(=O)(O)O,C10H16N2O11P2,402.19,25,6,0.60,6,11,5,79.89,217.23,0.13,-3.50,-1.60,-2.66,-2.27,-1.98,0.09,4.95e+02,1.23e+00,Highly soluble,-0.48,1.33e+02,3.30e-01,Very soluble,1.27,7.51e+03,1.87e+01,Soluble,Low,No,No,No,No,No,No,No,-11.24,1,1,1,1,3,0.11,0,1,1,4.36
Molecule 150,CC(=O)N[C@H](C(=O)N[C@H]1CCCCc2c1cc(C(=O)N)c(c2)OCC1CCCCC1)Cc1ccc(c(c1)P(=O)(O)O)P(=O)(O)O,C30H41N3O10P2,665.61,45,12,0.50,13,10,7,167.88,245.20,1.40,0.98,1.66,0.57,1.11,1.14,-3.92,7.94e-02,1.19e-04,Soluble,-5.72,1.28e-03,1.92e-06,Moderately soluble,-5.43,2.48e-03,3.73e-06,Moderately soluble,Low,No,No,No,No,No,No,No,-9.66,3,3,2,1,3,0.11,0,1,2,5.47
Molecule 151,O[C@@H]1[C@H](O)[C@H](O[C@@H]1n1cnc2c1cc(C)c(c2)C)COP(=O)(O)O,C14H19N2O7P,358.28,24,9,0.50,4,8,4,83.52,144.08,0.37,-1.09,0.06,-0.75,-0.85,-0.45,-1.39,1.47e+01,4.09e-02,Very soluble,-1.45,1.28e+01,3.58e-02,Very soluble,-0.61,8.88e+01,2.48e-01,Soluble,Low,No,No,No,No,No,No,No,-9.26,0,0,1,1,0,0.56,0,1,1,4.40
Molecule 152,O=c1[nH]c(=O)c2c(n1)n(C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O)c1c(n2)cc(c(c1)C)C,C17H21N4O9P,456.34,31,14,0.41,7,11,6,107.90,217.90,0.35,-2.56,-1.56,-1.25,-0.05,-1.01,-0.93,5.38e+01,1.18e-01,Very soluble,-1.47,1.54e+01,3.38e-02,Very soluble,-1.73,8.48e+00,1.86e-02,Soluble,Low,No,No,No,No,No,No,No,-10.90,2,1,1,1,4,0.11,0,2,1,4.41
Molecule 153,O=C(N[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O)CNC[C@@](c1ccc(cc1)C(=O)N[C@H](C(=O)O)CCC(=O)O)(Cc1ccc2c(c1)c(=O)nc([nH]2)N)O,C30H37N6O15P,752.62,52,16,0.40,19,17,12,175.47,363.09,-0.38,-6.72,-2.86,-2.92,-1.78,-2.93,0.75,4.27e+03,5.67e+00,Highly soluble,-0.20,4.72e+02,6.27e-01,Very soluble,-3.01,7.41e-01,9.84e-04,Soluble,Low,No,Yes,No,No,No,No,No,-15.66,3,4,2,1,6,0.11,0,1,2,6.19
Molecule 154,Fc1ccc2c(c1)c(CCCOP(=O)(O)O)c[nH]2,C11H13FNO4P,273.20,18,9,0.27,5,5,3,64.91,92.36,0.57,1.46,2.77,0.95,2.23,1.59,-2.49,8.77e-01,3.21e-03,Soluble,-3.01,2.70e-01,9.87e-04,Soluble,-3.38,1.13e-01,4.12e-04,Soluble,High,No,No,No,No,No,No,No,-6.93,0,0,0,0,0,0.56,0,1,0,2.43
Molecule 155,CCCCC/C=C\C=C\[C@H](CCCCCCCC(=O)O)O,C18H32O3,296.44,21,0,0.72,14,3,2,90.63,57.53,0.57,1.46,4.86,0.95,2.23,1.59,-2.49,8.77e-01,3.21e-03,Soluble,-3.01,2.70e-01,9.87e-04,Soluble,-3.38,1.13e-01,4.12e-04,Soluble,High,No,No,No,No,No,No,No,-6.93,0,0,0,0,0,0.56,0,1,0,2.43
Molecule 156,O[C@@H]1[C@H](O)[C@H](O[C@@H]1n1cnc2c1cccc2)COP(=O)(O)O,C12H15N2O7P,330.23,22,9,0.42,4,8,4,73.59,144.08,-0.94,-1.82,-0.56,-1.28,-1.84,-1.29,-0.78,5.49e+01,1.66e-01,Very soluble,-0.69,6.77e+01,2.05e-01,Very soluble,0.15,4.66e+02,1.41e+00,Soluble,Low,No,No,No,No,No,No,No,-9.61,0,1,1,1,0,0.56,0,1,0,4.23
Molecule 157,O[C@@H]1[C@H](O)[C@H](O[C@H]1c1[nH]nc2c1ncnc2N)COP(=O)(O)O,C10H14N5O7P,347.22,23,9,0.50,4,10,6,73.65,206.74,-0.86,-3.88,-2.11,-3.06,-2.49,-2.48,0.43,9.26e+02,2.67e+00,Highly soluble,0.13,4.72e+02,1.36e+00,Highly soluble,0.44,9.54e+02,2.75e+00,Soluble,Low,No,No,No,No,No,No,No,-11.17,2,1,1,1,3,0.11,0,1,0,4.26
Molecule 158,CCC(=O)N1CC[C@@H](C1)Nc1ncnc2c1CN(CC2)c1cnc(c(c1)C(F)(F)F)OC,C21H25F3N6O2,450.46,32,12,0.52,7,8,1,118.85,83.48,3.55,2.49,2.93,1.67,2.70,2.67,-4.02,4.33e-02,9.62e-05,Moderately soluble,-3.89,5.83e-02,1.29e-04,Soluble,-5.86,6.22e-04,1.38e-06,Moderately soluble,High,No,Yes,No,Yes,No,Yes,Yes,-7.28,0,0,0,0,0,0.55,0,0,1,4.06
Molecule 159,CSc1nc(NCCC(C)C)c2c(n1)n(cn2)[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O,C16H26N5O7PS,463.45,30,9,0.69,9,10,5,109.43,207.19,2.20,0.22,0.22,-1.59,-1.20,-0.03,-2.48,1.53e+00,3.31e-03,Soluble,-4.13,3.43e-02,7.40e-05,Moderately soluble,-1.18,3.09e+01,6.67e-02,Soluble,Low,No,Yes,No,No,No,No,No,-8.97,1,0,1,1,1,0.11,0,1,2,5.04
Molecule 160,OC[C@@]([C@@H](COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(nc1=O)N)O)O)O)(OP(=O)(O)O)C,C14H26N3O17P3,601.29,37,6,0.71,13,18,9,116.06,349.54,-1.20,-7.66,-3.40,-4.77,-5.82,-4.57,2.00,5.96e+04,9.90e+01,Highly soluble,1.06,6.86e+03,1.14e+01,Highly soluble,3.88,4.61e+06,7.67e+03,Soluble,Low,No,Yes,No,No,No,No,No,-15.41,3,2,2,1,5,0.11,0,1,2,5.89
Molecule 161,O[C@@H]([C@H](c1c[nH]c2c1cccc2)O)COP(=O)(O)O,C11H14NO6P,287.21,19,9,0.27,5,6,5,67.27,132.82,0.09,-1.20,0.35,-1.08,0.27,-0.31,-0.89,3.74e+01,1.30e-01,Very soluble,-1.10,2.31e+01,8.03e-02,Very soluble,-1.24,1.66e+01,5.77e-02,Soluble,High,No,No,No,No,No,No,No,-8.90,0,0,0,1,0,0.56,0,1,0,3.33
Molecule 162,CC[C@@H]([C@H](C(=O)O)NCc1c(cnc(c1O)C)COP(=O)(O)O)C,C14H23N2O7P,362.32,24,6,0.57,9,9,5,86.65,159.02,0.83,-2.13,0.99,-3.15,0.65,-0.56,-0.34,1.67e+02,4.62e-01,Very soluble,-0.68,7.56e+01,2.09e-01,Very soluble,-1.91,4.47e+00,1.23e-02,Soluble,Low,No,Yes,No,Yes,No,No,No,-10.02,0,0,1,1,2,0.11,0,1,2,3.67
Molecule 163,OC(=O)C1(CC1)NCc1c(cnc(c1O)C)COP(=O)(O)O,C12H17N2O7P,332.25,22,6,0.50,7,9,5,74.96,159.02,0.20,-4.06,0.05,-3.68,0.03,-1.49,0.92,2.75e+03,8.28e+00,Highly soluble,1.32,6.98e+03,2.10e+01,Highly soluble,-1.47,1.12e+01,3.37e-02,Soluble,Low,No,No,No,No,No,No,No,-11.21,0,0,1,1,2,0.11,0,1,0,2.70
Molecule 164,CCCCN(CCC(c1cc2c(Cl)cc(cc2c2c1ccc(c2)C(F)(F)F)Cl)O)CCCC,C26H30Cl2F3NO,500.42,33,14,0.46,11,5,1,133.57,23.47,4.96,8.61,9.47,6.48,8.78,7.66,-7.95,5.55e-06,1.11e-08,Poorly soluble,-8.98,5.26e-07,1.05e-09,Poorly soluble,-10.51,1.54e-08,3.08e-11,Insoluble,Low,No,Yes,No,No,No,Yes,Yes,-3.24,2,3,1,1,1,0.17,0,1,3,3.42
Molecule 165,CCCCCC[P@@](=O)(O[C@H]1C[C@@H](C)CC[C@@H]1C(C)C)O,C16H33O3P,304.41,20,0,1.00,8,3,1,87.82,56.34,3.14,4.75,5.23,3.33,3.14,3.92,-4.19,1.96e-02,6.43e-05,Moderately soluble,-5.66,6.61e-04,2.17e-06,Moderately soluble,-3.65,6.86e-02,2.25e-04,Soluble,High,Yes,No,No,No,No,Yes,No,-4.78,0,0,0,0,0,0.55,0,1,2,5.60
Molecule 166,CCCCCCCCCCCC[P+](CC(P(=O)(O)O)P(=O)(O)O)(C)C,C16H38O6P3+,419.39,25,0,1.00,15,6,4,110.03,148.27,1.88,2.05,4.87,2.34,1.82,2.59,-2.74,7.60e-01,1.81e-03,Soluble,-4.79,6.77e-03,1.61e-05,Moderately soluble,-3.70,8.33e-02,1.99e-04,Soluble,Low,No,Yes,No,No,No,No,Yes,-7.40,0,0,2,1,0,0.56,0,1,2,5.26
Molecule 167,O[C@@H]1[C@H](O)[C@H](O[C@@H]1n1cnc2c1ccc(c2)C)COP(=O)(O)O,C13H17N2O7P,344.26,23,9,0.46,4,8,4,78.56,144.08,0.41,-1.45,-0.25,-1.01,-1.35,-0.73,-1.09,2.82e+01,8.19e-02,Very soluble,-1.07,2.92e+01,8.47e-02,Very soluble,-0.23,2.04e+02,5.92e-01,Soluble,Low,No,No,No,No,No,No,No,-9.43,0,0,1,1,0,0.56,0,1,0,4.28
Molecule 168,FC(Oc1ccc(cc1)S(=O)(=O)NCCOP(=O)(O)O)(F)F,C9H11F3NO7PS,365.22,22,6,0.33,8,11,3,65.90,140.35,0.16,0.29,3.31,-0.54,-0.23,0.60,-1.96,4.00e+00,1.09e-02,Very soluble,-2.80,5.80e-01,1.59e-03,Soluble,-2.37,1.56e+00,4.28e-03,Soluble,Low,No,No,No,No,No,No,No,-8.32,0,0,1,1,1,0.56,0,1,2,2.85
Molecule 169,OC(=O)C[C@@H](C(=O)O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O,C14H18N5O11P,463.29,31,9,0.50,9,14,7,96.45,256.49,-1.17,-3.18,-2.62,-5.26,-4.24,-3.29,-0.33,2.17e+02,4.68e-01,Very soluble,-1.64,1.07e+01,2.30e-02,Very soluble,1.75,2.62e+04,5.66e+01,Soluble,Low,No,No,No,No,No,No,No,-11.38,2,1,1,1,4,0.11,0,1,2,4.87
Molecule 170,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1nc[nH+]c2Cl)COP(=O)(O)O,C10H13ClN4O7P+,367.66,23,9,0.50,4,9,5,75.08,171.11,-0.20,-2.21,-1.70,-2.42,-2.17,-1.74,-0.75,6.50e+01,1.77e-01,Very soluble,-0.85,5.18e+01,1.41e-01,Very soluble,0.30,7.39e+02,2.01e+00,Soluble,Low,No,No,No,No,No,No,No,-10.11,1,1,1,1,2,0.11,0,1,1,4.23
Molecule 171,CCCCCCCCCCCCCCCCOCCCOP(=O)(CO[C@@H](Cn1ccc(nc1=O)N)CO)O,C27H52N3O7P,561.69,38,6,0.85,26,8,3,154.16,155.94,4.12,4.89,5.26,1.63,4.96,4.17,-4.80,8.82e-03,1.57e-05,Moderately soluble,-7.90,7.07e-06,1.26e-08,Poorly soluble,-7.15,3.99e-05,7.10e-08,Poorly soluble,Low,No,No,No,Yes,No,No,Yes,-6.25,1,3,2,1,2,0.55,0,1,3,6.11
