Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 70,Fc1cc(CNCCC2CCOCC2)ccc1Oc1ccc(cn1)C(=O)N,C20H24FN3O3,373.42,27,12,0.40,8,6,2,99.19,86.47,2.92,2.01,3.29,2.01,3.48,2.74,-3.22,2.24e-01,5.99e-04,Soluble,-3.45,1.32e-01,3.52e-04,Soluble,-6.26,2.06e-04,5.51e-07,Poorly soluble,High,No,Yes,No,Yes,No,Yes,Yes,-7.15,0,0,0,0,0,0.55,0,0,2,2.91
Molecule 71,OP(=O)([C@H](S(=O)(=O)O)CCCc1cccc(c1)Oc1ccccc1)O,C16H19O7PS,386.36,25,12,0.25,8,7,3,93.87,139.32,0.77,1.65,4.27,1.89,0.66,1.85,-3.10,3.05e-01,7.90e-04,Soluble,-4.19,2.50e-02,6.47e-05,Moderately soluble,-4.07,3.30e-02,8.53e-05,Moderately soluble,Low,No,No,No,No,No,No,No,-7.49,0,0,0,1,0,0.56,0,2,2,4.16
Molecule 72,N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@](CS(=O)(=O)c1ccc(cc1)F)(O)C,C18H14F4N2O4S,430.37,29,12,0.22,7,9,2,93.86,115.64,1.69,2.31,5.34,2.47,3.22,3.01,-3.81,6.70e-02,1.56e-04,Soluble,-4.38,1.81e-02,4.20e-05,Moderately soluble,-6.25,2.41e-04,5.60e-07,Poorly soluble,Low,No,Yes,No,Yes,No,No,Yes,-7.29,0,0,0,0,0,0.55,0,0,1,3.53
Molecule 73,O[C@@H](COc1cc(CCC(=O)O)cc(c1F)F)CNC(CC1Cc2c(C1)cccc2)(C)C,C25H31F2NO4,447.51,32,12,0.48,11,7,3,119.00,78.79,3.25,1.75,4.74,3.72,5.68,3.83,-3.27,2.41e-01,5.39e-04,Soluble,-3.02,4.26e-01,9.51e-04,Soluble,-7.44,1.64e-05,3.66e-08,Poorly soluble,High,No,Yes,No,No,No,Yes,No,-7.79,0,0,1,0,0,0.55,0,0,2,3.91
Molecule 74,CC[C@@H](C(=O)O[C@H]1C[C@@H](C)C=C2[C@H]1[C@@H](CC[C@H]1C[C@@H](O)CC(=O)N1Cc1ccc3c(c1)ccc(c3CO)OC)[C@H](C=C2)C)C,C37H49NO6,603.79,44,10,0.57,11,6,2,179.07,96.30,5.37,5.73,5.65,3.86,5.75,5.27,-6.64,1.40e-04,2.31e-07,Poorly soluble,-7.52,1.83e-05,3.02e-08,Poorly soluble,-7.11,4.67e-05,7.73e-08,Poorly soluble,High,No,Yes,No,No,No,No,Yes,-5.91,1,4,1,0,2,0.55,0,0,3,6.19
Molecule 75,CCN(CCOP(=O)(O)O)CCCOc1ccc2c(c1)ncnc2Nc1[nH]nc(c1)CC(=O)Nc1cccc(c1)F,C26H31FN7O6P,587.54,41,21,0.31,16,11,5,150.29,184.63,2.61,-0.38,3.85,1.08,2.51,1.93,-2.57,1.59e+00,2.71e-03,Soluble,-3.03,5.43e-01,9.24e-04,Soluble,-8.15,4.14e-06,7.05e-09,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-10.15,2,3,2,1,3,0.11,0,1,2,4.23
Molecule 76,OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@H]([C@@H]1/C=C/[C@H](COc1cccc(c1)C(F)(F)F)O)O,C23H29F3O6,458.47,32,6,0.52,12,9,4,112.24,107.22,2.58,2.94,4.71,2.41,4.01,3.33,-3.88,6.02e-02,1.31e-04,Soluble,-4.85,6.42e-03,1.40e-05,Moderately soluble,-3.26,2.53e-01,5.52e-04,Soluble,High,No,Yes,No,No,No,No,Yes,-7.01,0,0,1,0,0,0.56,0,1,2,4.78
Molecule 77,CCOC(=O)COc1ccc2c(c1)C[C@H](CC2)NC[C@@H](c1cccc(c1)Cl)O,C22H26ClNO4,403.90,28,12,0.41,9,5,2,109.15,67.79,4.10,3.94,3.14,2.83,4.57,3.71,-4.55,1.14e-02,2.82e-05,Moderately soluble,-5.06,3.49e-03,8.64e-06,Moderately soluble,-6.88,5.28e-05,1.31e-07,Poorly soluble,High,Yes,No,No,No,Yes,Yes,Yes,-5.97,0,0,0,0,0,0.55,0,0,3,3.76
Molecule 78,CCO[C@H](COc1ccc(cc1)C(F)(F)F)CSc1ccc(c(c1)C)OCC(=O)O,C21H23F3O5S,444.46,30,12,0.38,12,8,1,107.53,90.29,3.51,5.20,6.21,3.65,5.40,4.79,-5.38,1.87e-03,4.21e-06,Moderately soluble,-6.84,6.38e-05,1.43e-07,Poorly soluble,-6.83,6.59e-05,1.48e-07,Poorly soluble,Low,No,No,No,Yes,Yes,Yes,Yes,-5.32,0,1,1,1,1,0.56,0,0,3,4.04
Molecule 79,N#Cc1ccc(cc1)OC[C@@](C(=O)Nc1ccc(c(c1)C(F)(F)F)C#N)(O)C,C19H14F3N3O3,389.33,28,12,0.21,7,8,2,92.01,106.14,2.54,2.66,4.18,1.57,3.51,2.89,-3.78,6.39e-02,1.64e-04,Soluble,-4.54,1.12e-02,2.88e-05,Moderately soluble,-5.91,4.78e-04,1.23e-06,Moderately soluble,High,No,No,No,Yes,No,No,Yes,-6.79,0,0,0,0,0,0.55,0,0,1,3.00
Molecule 80,Fc1cc2C[C@H](COc2c(c1)F)n1c(CCNCc2ccccc2)c[nH]c1=S,C21H21F2N3OS,401.47,28,17,0.29,6,4,2,106.34,74.07,3.67,3.23,5.02,3.12,6.07,4.22,-4.42,1.54e-02,3.83e-05,Moderately soluble,-4.46,1.40e-02,3.48e-05,Moderately soluble,-7.64,9.20e-06,2.29e-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.46,0,0,0,0,0,0.55,0,1,1,3.78
Molecule 81,N#Cc1ccc(cc1C(F)(F)F)NC(=O)[C@](COc1ccc(c(c1)F)Cl)(O)C,C18H13ClF4N2O3,416.75,28,12,0.22,7,8,2,92.27,82.35,2.83,3.67,5.52,2.84,4.55,3.88,-4.59,1.07e-02,2.56e-05,Moderately soluble,-5.09,3.40e-03,8.15e-06,Moderately soluble,-6.70,8.39e-05,2.01e-07,Poorly soluble,High,No,No,No,Yes,Yes,Yes,Yes,-6.24,0,0,0,0,0,0.55,0,0,2,3.12
Molecule 82,O=c1[nH]c2ccc(cc2c(c1)C(F)(F)F)N1[C@H](C)CC[C@@H]1[C@H](C(F)(F)F)O,C17H16F6N2O2,394.31,27,10,0.47,4,8,2,89.99,56.33,2.68,3.37,5.86,3.31,4.24,3.89,-4.42,1.51e-02,3.82e-05,Moderately soluble,-4.23,2.32e-02,5.87e-05,Moderately soluble,-5.15,2.77e-03,7.03e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,Yes,-6.31,0,1,0,0,0,0.55,0,0,1,3.48
Molecule 83,C/C(=C\CC/C(=C/CO[P@](=O)(OP(=O)(O)O)O)/C(F)(F)F)/CCC=C(C)C,C15H25F3O7P2,436.30,27,0,0.60,12,10,3,95.97,132.91,2.60,3.08,6.43,2.20,2.90,3.44,-3.69,8.84e-02,2.03e-04,Soluble,-5.54,1.26e-03,2.89e-06,Moderately soluble,-1.90,5.45e+00,1.25e-02,Soluble,Low,No,No,No,No,Yes,No,No,-6.77,0,1,1,2,0,0.56,0,2,2,4.92
Molecule 84,CCC/N=C/1\S/C(=C\c2ccc(c(c2)Cl)OC[C@@H](CO)O)/C(=O)N1c1ccccc1C,C23H25ClN2O4S,460.97,31,12,0.30,8,5,2,130.19,107.66,2.60,3.08,3.78,2.20,2.90,3.44,-3.69,8.84e-02,2.03e-04,Soluble,-5.54,1.26e-03,2.89e-06,Moderately soluble,-1.90,5.45e+00,1.25e-02,Soluble,Low,No,No,No,No,Yes,No,No,-6.77,0,1,1,2,0,0.56,0,2,2,4.92
Molecule 85,OC(=O)[C@@H]1CCCN(C1)CCC=C(c1sccc1C)c1sccc1C,C20H25NO2S2,375.55,25,10,0.45,6,3,1,111.63,97.02,3.48,2.65,4.66,3.32,6.41,4.11,-3.74,6.87e-02,1.83e-04,Soluble,-4.34,1.72e-02,4.59e-05,Moderately soluble,-4.94,4.35e-03,1.16e-05,Moderately soluble,High,No,Yes,No,Yes,Yes,No,No,-6.71,0,0,0,0,0,0.55,0,0,1,3.98
Molecule 86,CCCNC[C@H](COc1ccccc1C(=O)CCc1ccccc1)O,C21H27NO3,341.44,25,12,0.38,11,4,2,100.42,58.56,3.48,3.31,3.24,2.54,4.55,3.42,-3.67,7.28e-02,2.13e-04,Soluble,-4.22,2.08e-02,6.08e-05,Moderately soluble,-6.91,4.19e-05,1.23e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.03,0,0,1,0,0,0.55,0,0,1,3.27
Molecule 87,CCOC(=O)CC[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](Cc1ccc(cc1)F)CC(=O)[C@H](C(C)C)NC(=O)c1noc(c1)C,C31H41FN4O7,600.68,43,11,0.55,19,9,3,159.53,156.70,4.41,3.16,3.09,1.58,5.65,3.58,-4.49,1.94e-02,3.23e-05,Moderately soluble,-6.12,4.55e-04,7.57e-07,Poorly soluble,-8.36,2.62e-06,4.36e-09,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-7.72,2,3,2,1,3,0.17,0,0,2,5.54
Molecule 88,COCCOC[C@@H](C(=O)Oc1ccc2c(c1)CCC2)CC1(CCCC1)C(=O)N[C@@H]1CC[C@@H](CC1)C(=O)O,C29H41NO7,515.64,37,6,0.69,14,7,2,139.55,111.16,3.52,4.02,4.07,2.68,5.11,3.88,-4.77,8.85e-03,1.72e-05,Moderately soluble,-6.06,4.52e-04,8.77e-07,Poorly soluble,-6.21,3.16e-04,6.12e-07,Poorly soluble,High,No,Yes,No,No,No,No,Yes,-6.59,1,3,1,0,0,0.56,0,1,3,4.96
Molecule 89,CCNC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@@H]2[C@H]1O[C@H](O2)/C=C/c1ccccc1)COP(=O)(O)O,C22H25N6O8P,532.44,37,15,0.36,10,11,4,128.45,188.99,2.09,-0.38,1.17,0.09,-1.15,0.37,-2.54,1.53e+00,2.87e-03,Soluble,-3.13,3.99e-01,7.49e-04,Soluble,-3.04,4.87e-01,9.14e-04,Soluble,Low,No,Yes,No,No,No,No,Yes,-9.82,2,1,1,1,2,0.11,0,1,2,5.47
