SMILES	MOL_WEIGHT	LOGP	#ROTATABLE_BONDS	#ACCEPTORS	#DONORS	SURFACE_AREA	Water solubility	Caco2 permeability	Intestinal absorption (human)	Skin Permeability	P-glycoprotein substrate	P-glycoprotein I inhibitor	P-glycoprotein II inhibitor	VDss (human)	Fraction unbound (human)	BBB permeability	CNS permeability	CYP2D6 substrate	CYP3A4 substrate	CYP1A2 inhibitior	CYP2C19 inhibitior	CYP2C9 inhibitior	CYP2D6 inhibitior	CYP3A4 inhibitior	Total Clearance	Renal OCT2 substrate	AMES toxicity	Max. tolerated dose (human)	hERG I inhibitor	hERG II inhibitor	Oral Rat Acute Toxicity (LD50)	Oral Rat Chronic Toxicity (LOAEL)	Hepatotoxicity	Skin Sensitisation	<i>T.Pyriformis</i> toxicity	Minnow toxicity
Cc1cc(-c2ccccc2[C@@H](C)OC[C@H](O)CNC(C)(C)Cc2ccc(Cl)c(F)c2)ccc1C(=O)O	514.037	6.20212	11	4	3	216.442	-3.348	0.545	95.711	-2.735	Yes	No	No	-1.358	0	-1.327	-2.264	No	No	No	No	No	No	No	0.673	No	No	0.758	No	No	2.633	2.473	Yes	No	0.285	-1.25
C[C@](O)(COc1ccc(F)cc1)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	402.3	3.5212	6	5	2	155.247	-5.064	1.295	85.953	-2.747	Yes	Yes	No	-0.829	0	-0.536	-2.492	No	Yes	No	Yes	Yes	No	Yes	0.35	No	No	-0.108	No	No	2.414	2.038	Yes	No	0.311	0.019
CN(C)C(=O)COc1ccc2c(c1)C[C@@H](NC[C@H](O)c1ccc(O)c(CCO)c1)CC2	428.529	1.5745	9	6	4	182.829	-3.328	-0.031	62.421	-2.736	Yes	No	No	1.07	0.272	-0.989	-3.152	No	No	No	No	No	No	No	1.27	No	No	-0.054	No	Yes	2.554	1.578	Yes	No	0.295	1.402
CCOc1ccccc1C(=O)NCc1coc(-c2ccc(OC(F)F)c(OC(C)C)c2)n1	446.45	5.0589	10	6	1	183.862	-6.334	1.123	90.059	-2.75	No	Yes	Yes	-0.27	0	-1.107	-2.44	No	Yes	No	Yes	Yes	No	Yes	0.339	No	No	0.565	No	Yes	2.12	1.013	Yes	No	0.399	-0.323
NC(CO)(CO)CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl	443.996	4.6849	10	5	3	186.204	-5.843	0.594	89.913	-2.745	Yes	Yes	Yes	0.2	0.058	-0.972	-2.447	No	Yes	Yes	Yes	Yes	Yes	Yes	0.75	No	Yes	0.516	No	Yes	2.765	1.534	Yes	No	0.31	0.359
C[C@H](NC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)C[P@](=O)(O)[C@H](C)N)C(=O)O	418.43	2.6767	9	4	4	169.951	-3.242	0.795	39.993	-2.735	Yes	No	No	-0.837	0.022	-1.182	-3.072	No	Yes	No	No	No	No	No	0.488	No	No	-0.164	No	No	2.071	2.706	Yes	No	0.285	2.283
CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1	441.362	3.3405	7	6	3	173.523	-5.477	1.082	74.46	-2.751	Yes	Yes	No	-0.701	0	-1.319	-2.62	No	Yes	No	Yes	Yes	No	Yes	0.317	No	Yes	-0.407	No	Yes	2.479	2.082	Yes	No	0.309	0.542
O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1	284.246	3.2409	3	4	1	118.217	-3.765	0.97	93.774	-2.733	No	No	No	-0.587	0.174	-0.622	-2.214	No	Yes	No	No	No	No	No	0.449	No	No	0.717	No	No	2.514	1.167	Yes	No	0.392	1.22
CC(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O	613.598	4.3253	10	4	4	248.011	-5.141	0.434	65.59	-2.735	Yes	Yes	Yes	-0.503	0	-1.302	-3.221	No	Yes	No	Yes	Yes	No	Yes	-0.225	No	No	0.227	No	Yes	2.556	2.382	Yes	No	0.285	2.756
C[C@@H](O[C@H]1OCCN(Cc2nc(=O)n(P(=O)(O)O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	614.411	4.3663	7	7	3	226.066	-3.254	-0.614	58.46	-2.735	Yes	Yes	No	-0.603	0.143	-2.293	-4.141	No	No	No	No	No	No	No	-0.45	No	No	0.889	No	Yes	3.129	4.168	No	No	0.285	5.211
CCO[C@H]1CC[C@H](n2cc(NC(=O)c3csc(-c4cnn(C(C)OP(=O)(O)O)c4)n3)c(-c3nc(F)ccc3F)n2)CC1	623.579	4.9436	10	11	3	242.313	-3.028	0.677	82.656	-2.735	Yes	Yes	Yes	-0.746	0.09	-3.206	-3.891	No	Yes	No	No	No	No	No	0.133	No	No	0.761	No	Yes	2.002	1.854	Yes	No	0.285	3.491
CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@H]1O[C@](CC)([C@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C	590.798	5.84222	13	7	4	251.365	-3.138	0.531	56.133	-2.735	Yes	No	Yes	-0.188	0.266	-1.57	-2.932	No	No	No	No	No	No	No	0.864	No	No	1.025	No	No	3.327	1.696	No	No	0.285	-0.375
CCCCCC[C@@H]1CCc2cc([C@H]3CC[C@](N)(CO)C3)ccc2C1	329.528	4.7192	7	2	2	147.393	-5.065	1.065	92.286	-2.963	Yes	Yes	Yes	1.213	0.134	-0.209	-1.428	No	Yes	No	Yes	No	Yes	No	1.416	No	No	-0.63	No	Yes	3.043	1.11	Yes	No	1.176	-0.355
CCc1nc(-c2ccc3c(c2)CC[C@H]3NC(=O)c2cnn(C)c2)no1	337.383	2.4498	4	6	1	144.598	-3.132	1.342	96.278	-2.781	Yes	No	No	0.149	0.117	-0.717	-2.512	No	Yes	Yes	Yes	Yes	No	No	0.293	No	No	-0.163	No	No	2.481	1.177	Yes	No	0.377	0.867
