Ligand,Best_Affinity_(kcal/mol)
336_Thymidine_monophosphate,-6.699
247_N_6___pyridoxal_phosphate__L_lysine,-6.692
15_S__2___N___2S__2_hydroxy_3_3_dimethyl_4__phosphonooxy_butanoyl__beta_alanyl_amino_ethyl__hexanethioate,-6.683
136_Lysophosphatidylglycerol,-6.677
118_Fospropofol,-6.67
20_Lysophosphotidylserine,-6.667
129_5_10_Dimethylene_Tetrahydromethanopterin,-6.665
21__2R__3__phosphonooxy_propane_1_2_diyl_diheptanoate,-6.662
110__6E_11E__HEPTADECA_6_11_DIENE_9_9_DIYLBIS_PHOSPHONIC_ACID_,-6.66
284_3_4_Dihydro_2__deoxyuridine_5__monophosphate,-6.653
293_Fanapanel,-6.643
375_PUROMYCIN_AMINONUCLEOSIDE_5__MONOPHOSPHATE,-6.609
41_Lauryl_alcohol_diphosphonic_acid,-6.592
337_Phosphonotyrosine,-6.586
248___2R_3R_4S_5S__3_4_Dihydroxy_5__4_oxo_4_5_dihydro_1H_pyrrolo_3_2_d_pyrimidin_7_yl__2_pyrrolidinyl_methyl_dihydrogen_phosphate,-6.573
107_2_deazo_6_thiophosphate_guanosine_5__monophosphate,-6.568
405_5_fluoro_2__deoxyuridine_5__monophosphate,-6.562
393_Orvepitant,-6.545
442_Desulfo_coenzyme_A,-6.521
340_N_PYRIDOXYL_D_GLUTAMIC_ACID_5__MONOPHOSPHATE,-6.51
261_Rociletinib,-6.508
407_Laropiprant,-6.499
383_S__2___N__2_HYDROXY_4___HYDROXY_OXIDO_PHOSPHINO_OXY__3_3_DIMETHYLBUTANOYL__BETA_ALANYL_AMINO_ETHYL__HEXANETHIOATE,-6.468
240_1_deoxy_1__2_6_8_trioxo_7__4__phosphonooxy_butyl__1_2_3_6_7_8_hexahydro_9H_purin_9_yl__D_arabinitol,-6.458
203_Platelet_Activating_Factor,-6.427
225_2__O_Methyl_3__Methyl_3__Deoxy_Arabinofuranosyl_Thymine_5__Phosphate,-6.414
206__1___3_Hydroxy_Methyl_5_Phosphonooxy_Methyl_Pyridin_4_Ylmethyl__Amino__Ethyl__Phosphonic_Acid,-6.413
125_Foslevodopa,-6.408
208_Ertiprotafib,-6.397
372_AK106_001616,-6.395
260_1_Carboxyethylaminomethyl_4_Aminomethylbenzene,-6.393
244_N__5__Phosphopyridoxyl__D_Alanine,-6.387
308_Glutathione_S_atrazine,-6.378
268_Bisphosphocin_Nu_3,-6.363
