Common_Name,SMILES,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3
5-AMINO-6-CYCLOHEXYL-4-HYDROXY-2-ISOPROPYL-HEXANOIC ACID,CC(C)[C@H](C[C@H](O)[C@@H](N)CC1CCCCC1)C(=O)O,271.4009999999999,2.3919,3.0,3.0,1.0,7.0,19.0,4.0,0.0,83.55,0.9333333333333333
"N-[(2R,3S)-1-((2S)-2-{[(CYCLOPENTYLAMINO)CARBONYL]AMINO}-3-METHYLBUTANOYL)-2-(1-FORMYL-1-CYCLOBUTYL)PYRROLIDINYL]CYCLOPROPANECARBOXAMIDE",CC(C)[C@H](NC(=O)NC1CCCC1)C(=O)N1CC[C@H](NC(=O)C2CC2)[C@H]1C1(C=O)CCC1,446.5920000000002,2.1177,3.0,4.0,4.0,8.0,32.0,8.0,0.0,107.60999999999999,0.8333333333333334
"(4R,2S)-5'-(4-(4-CHLOROBENZYLOXY)PYRROLIDIN-2-YLMETHANESULFONYL)ISOQUINOLINE",O=S(=O)(NC[C@@H]1C[C@@H](OCc2ccc(Cl)cc2)CN1)c1cccc2cnccc12,431.9450000000001,3.1138000000000012,2.0,5.0,4.0,7.0,29.0,8.0,3.0,80.32000000000001,0.2857142857142857
"N-[2-(5-methyl-4H-1,2,4-triazol-3-yl)phenyl]-7H-pyrrolo[2,3-d]pyrimidin-4-amine",Cc1nnc(-c2ccccc2Nc2ncnc3[nH]ccc23)[nH]1,291.31800000000004,2.79502,3.0,5.0,4.0,3.0,22.0,7.0,4.0,95.16999999999999,0.06666666666666667
"5-(5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)-4,5,6,7-tetrahydro-1H-imidazo[4,5-c]pyridine",Clc1c[nH]c2ncnc(N3CCc4[nH]cnc4C3)c12,274.71500000000003,1.8970999999999998,2.0,4.0,4.0,1.0,19.0,7.0,3.0,73.49000000000001,0.25
"5-(4-METHYL-BENZOYLAMINO)-BIPHENYL-3,4'-DICARBOXYLIC ACID 3-DIMETHYLAMIDE-4'-HYDROXYAMIDE",Cc1ccc(C(=O)Nc2cc(C(=O)N(C)C)cc(-c3ccc(C(=O)NO)cc3)c2)cc1,417.4650000000001,3.735120000000002,3.0,4.0,3.0,5.0,31.0,7.0,3.0,98.74000000000001,0.125
"N-(1-CYANOCYCLOPROPYL)-3-({[(2S)-5-OXOPYRROLIDIN-2-YL]METHYL}SULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE",N#CC1(NC(=O)[C@H](CS(=O)(=O)C[C@@H]2CCC(=O)N2)N[C@@H](c2ccc(F)cc2)C(F)(F)F)CC1,490.47900000000004,1.2530799999999993,3.0,6.0,3.0,9.0,33.0,13.0,1.0,128.16,0.55
"3,4-DI-1H-INDOL-3-YL-1H-PYRROLE-2,5-DICARBOXYLIC ACID",O=C(O)c1[nH]c(C(=O)O)c(-c2c[nH]c3ccccc23)c1-c1c[nH]c2ccccc12,385.37900000000013,4.707700000000001,5.0,2.0,5.0,4.0,29.0,7.0,5.0,121.97,0.0
"N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(BENZYLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-HYDROXYPHENYL)ETHYL]-L-ALANINAMIDE",NCC1(NC(=O)[C@H](CS(=O)(=O)Cc2ccccc2)N[C@@H](c2ccc(O)cc2)C(F)(F)F)CC1,485.52800000000013,2.1763000000000012,4.0,6.0,3.0,10.0,33.0,11.0,2.0,121.52,0.4090909090909091
"S-[3-(3,4-DICHLOROPHENYL)-3-OXOPROPYL]-L-CYSTEINE",N[C@@H](CSCCC(=O)c1ccc(Cl)c(Cl)c1)C(=O)O,322.2130000000001,2.7113000000000005,2.0,4.0,1.0,7.0,19.0,7.0,1.0,80.39,0.3333333333333333
N1-CYCLOPENTYL-N2-(THIAZOL-2-YL)OXALAMIDE,O=C(Nc1nccs1)C(=O)NC1CCCC1,239.29999999999995,1.1403999999999999,2.0,4.0,2.0,2.0,16.0,6.0,1.0,71.09,0.5
