Molecule ChEMBL ID,Smiles,Standard Value,Standard Type,pChEMBL Value,Activity_Class
CHEMBL1951318,CCc1cc(CN2CC(C(=O)O)C2)sc1-c1noc(-c2ccc(Oc3ccccc3)c(OC)c2)n1,14.0,EC50,7.85,Active
CHEMBL1951315,CCc1cc(CN2CC(C(=O)O)C2)sc1-c1noc(-c2ccc(Oc3ccccc3C(C)C)cc2)n1,4.5,EC50,8.35,Active
CHEMBL1951316,CCc1cc(CN2CC(C(=O)O)C2)sc1-c1noc(-c2ccc(Oc3ccccc3)c(F)c2)n1,5.0,EC50,8.3,Active
CHEMBL1951309,CCc1cc(CN2CC(C(=O)O)C2)sc1-c1noc(-c2ccc(Oc3ccccc3F)cc2)n1,8.5,EC50,8.07,Active
CHEMBL3946363,CCCc1ccc(-c2noc3c2COc2cc(CN4CC(C(=O)O)C4)ccc2-3)cc1,1.3,IC50,8.89,Active
CHEMBL3964377,O=C(O)C1CN(Cc2ccc3c(c2)CCc2c-3noc2-c2cccc(C(F)(F)F)c2)C1,94.0,IC50,7.03,Active
CHEMBL3939314,O=C(O)[C@H]1CCCN(Cc2ccc3c(c2)CCc2c-3noc2-c2noc(-c3ccccc3)c2C(F)(F)F)C1,22.0,IC50,7.66,Active
CHEMBL4752394,COCCCCC[C@@H]1CCc2cc([C@H]3CC[C@](N)(COP(=O)(O)O)C3)ccc2C1,2.7,EC50,8.57,Active
CHEMBL3360379,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCN(CCC(=O)O)CC4)no2)cc1Cl,158.49,EC50,6.8,Active
CHEMBL5961216,CCN(c1ccc(Cl)c(C)c1)C(C)c1ccc(OC)c(CN2CC(C(=O)O)C2)c1,6.9,IC50,8.16,Active
CHEMBL115713,CCCCCCCCc1ccc(CC[C@@H](N)C[C@H](O)P(=O)(O)O)cc1,0.1,IC50,10.0,Active
CHEMBL228138,CCCCCCCCc1cccc(NC[C@H](N)CCP(=O)(O)O)c1,30.0,EC50,7.52,Active
CHEMBL374614,FC(F)(F)c1sc(-c2nc(-c3ccc(Cl)cc3Cl)no2)cc1-c1ccccc1,78.0,IC50,7.11,Active
CHEMBL389012,FC(F)(F)c1sc(-c2nc(-c3ccccc3)no2)cc1-c1ccccc1,25.0,IC50,7.6,Active
CHEMBL334213,CCCCCCCCCCCCCCNCCCP(=O)(O)O,2.3,IC50,8.64,Active
CHEMBL224005,Cc1cc(CN2CC(C(=O)O)C2)ccc1OCc1cc(-c2ccccc2)c(C(F)(F)F)s1,0.8,EC50,9.1,Active
CHEMBL4095920,CCCc1ccc(COc2ccc3c(c2C)CCC(CN2CC(C(=O)O)C2)=C3C)c(OC)c1,0.072,EC50,10.14,Active
CHEMBL470511,C[C@](N)(COP(=O)(O)O)c1nc(-c2ccc(OCCCCCc3ccccc3)cc2)c[nH]1,10.2,EC50,7.99,Active
CHEMBL117723,CCCCCCCCOc1c(Br)cc(CNCCCP(=O)(O)O)cc1OC,4.1,IC50,8.39,Active
CHEMBL5963841,CCN(c1ccc(Cl)c(C)c1)C1CCc2c(CN3CC(C(=O)O)C3)cccc21,2.8,IC50,8.55,Active
CHEMBL5835003,CCN(c1ccc(Cl)c(C)c1)[C@H](C)c1cccc(CN2CC(C(=O)O)C2)c1,1.2,IC50,8.92,Active
CHEMBL119239,CCCCCCCCOc1ccc(CNCCCP(=O)(O)O)cc1O,14.0,IC50,7.85,Active
CHEMBL1836169,Cc1c(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)ccc2c1CCN(CCC(=O)O)C2,5.623,EC50,8.25,Active
CHEMBL1836213,Cc1c(-c2noc(-c3ccc(OC(C)C)c(C#N)c3)n2)cnc2c1CCN(C(CO)CO)C2,19.95,EC50,7.7,Active
CHEMBL3699131,Cc1cscc1-c1ccc(-c2nc(-c3ccccc3OC(F)(F)F)no2)cc1C(F)(F)F,4.0,Ki,8.4,Active
CHEMBL3949207,O=C(Nc1ccc(O)c2ccccc12)c1cc(NC2CCCCC2)ncn1,540.0,Ki,6.27,Active
CHEMBL1081268,Cc1ccccc1Nc1cc(C(=O)Nc2ccc(O)cc2)ncn1,2100.0,EC50,5.68,Inactive
CHEMBL3955048,COc1cc(NS(C)(=O)=O)ccc1NC(=O)c1cc(NC2CCCCC2)ncn1,374.0,EC50,6.43,Active
CHEMBL3958821,CCCN(c1cc(C(=O)Nc2ccc(S(N)(=O)=O)cc2C)ncn1)C(C)C,51.0,EC50,7.29,Active
