Common_Name,SMILES,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3,MorganFingerprint,Predicted_Prob,Predicted_Activity
6-Hydro-1-Methyladenosine-5'-Monophosphate,[H]/N=c1/c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2ncn1C,361.251,-2.0222300000000004,5.0,10.0,3.0,4.0,24.0,13.0,2.0,175.94,0.5454545454545454,[0 0 0 ... 0 0 0],0.7479166666666667,1
Glutathione S-atrazine,CCNc1nc(NC(C)C)nc(SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)n1,486.5550000000003,-0.9064999999999954,7.0,11.0,1.0,15.0,33.0,15.0,1.0,221.54999999999995,0.6111111111111112,[0 1 0 ... 0 0 0],0.7475,1
Staurosporine,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,466.5410000000003,4.354000000000003,2.0,6.0,8.0,2.0,35.0,7.0,5.0,69.45,0.3214285714285714,[0 0 0 ... 0 0 0],0.7475,1
Bafetinib,Cc1ccc(NC(=O)c2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1,576.6270000000001,5.392620000000004,2.0,8.0,5.0,8.0,42.0,12.0,4.0,99.17000000000002,0.3,[0 0 0 ... 0 0 0],0.7475,1
Ondelopran,NC(=O)c1ccc(Oc2ccc(CNCCC3CCOCC3)cc2F)nc1,373.4280000000001,3.018200000000002,2.0,5.0,3.0,8.0,27.0,7.0,2.0,86.47000000000001,0.4,[0 0 0 ... 0 0 0],0.7475,1
Pelcitoclax,Cc1c(S(C)(=O)=O)c(-c2cc(F)cc(N3CCN(c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN6CCC(C(=O)OCCCP(=O)(O)O)CC6)CSc6ccccc6)c(S(=O)(=O)C(F)(F)F)c5)cc4)CC3)c2)c(-c2ccc(Cl)cc2)n1C(C)C,1281.8729999999998,11.114219999999992,4.0,15.0,8.0,23.0,84.0,27.0,6.0,224.95999999999995,0.3859649122807017,[0 1 0 ... 1 0 0],0.7475,1
Alpha-Ribazole-5'-Phosphate,Cc1cc2ncn([C@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2cc1C,358.2870000000001,0.3816399999999997,4.0,7.0,3.0,4.0,24.0,10.0,2.0,134.27,0.5,[0 0 0 ... 0 0 0],0.7466666666666667,1
2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid,CCOP(=O)(OCC)OC[C@H](N)C(=O)O,241.18,0.5959999999999999,2.0,6.0,0.0,8.0,15.0,8.0,0.0,108.08,0.8571428571428571,[0 1 0 ... 0 0 0],0.74625,1
"1,2-diacyl-sn-glycero-3-phosphoinositol",CCCCCCCC/C=C/CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O,836.0740000000008,7.6485000000000065,5.0,13.0,1.0,37.0,57.0,14.0,0.0,212.33999999999995,0.9069767441860463,[0 1 0 ... 0 0 0],0.7462222222222222,1
"4-(6-CHLORO-2,4-DIOXO-1,2,3,4-TETRAHYDROPYRIMIDIN-5-YL) BUTYL PHOSPHATE",O=c1[nH]c(Cl)c(CCCCOP(=O)(O)O)c(=O)[nH]1,298.61899999999997,0.1485999999999998,4.0,4.0,1.0,6.0,18.0,10.0,1.0,132.48,0.5,[0 0 0 ... 0 0 0],0.746095238095238,1
