Common_Name,SMILES,MolWt,LogP,NumHDonors,NumHAcceptors,NumRings,NumRotatableBonds,NumHeavyAtoms,NumHeteroatoms,NumAromaticRings,TPSA,FractionCSP3,MorganFingerprint,Predicted_Prob,Predicted_Activity
"5-(3-(2,6-dichloro-4-(4,5-dihydro-2-oxazolyl)phenoxy)propyl)-3-methyl isoxazole",Cc1cc(CCCOc2c(Cl)cc(C3=NCCO3)cc2Cl)on1,355.22100000000006,4.078220000000003,0.0,5.0,3.0,6.0,23.0,7.0,2.0,56.85,0.375,[0 0 0 ... 1 0 0],0.6016666666666667,1
"3-Carboxy-N,N,N-Trimethyl-2-(Octanoyloxy)Propan-1-Aminium",CCCCCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,288.408,2.4396000000000004,1.0,3.0,0.0,11.0,20.0,5.0,0.0,63.60000000000001,0.8666666666666667,[0 1 0 ... 0 0 0],0.601625,1
Bazedoxifene,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,470.6130000000003,6.331020000000006,2.0,5.0,5.0,7.0,35.0,5.0,4.0,57.86,0.3333333333333333,[0 0 1 ... 0 0 0],0.6016071428571429,1
Pipendoxifene,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,456.58600000000024,5.9409200000000055,2.0,5.0,5.0,7.0,34.0,5.0,4.0,57.86,0.3103448275862069,[0 0 1 ... 0 0 0],0.6016071428571429,1
Telcagepant,O=C(N[C@@H]1CC[C@@H](c2cccc(F)c2F)CN(CC(F)(F)F)C1=O)N1CCC(n2c(=O)[nH]c3ncccc32)CC1,566.5310000000001,3.6864000000000017,2.0,5.0,5.0,4.0,40.0,14.0,3.0,103.33,0.46153846153846156,[0 0 0 ... 0 1 0],0.601547619047619,1
CRA_10656,CC(C)COc1cccc(-c2nc3cc(C(N)=[NH2+])ccc3[nH]2)c1[O-],324.384,0.8026999999999993,3.0,3.0,3.0,5.0,24.0,6.0,3.0,112.58000000000001,0.2222222222222222,[0 1 0 ... 0 0 0],0.6015,1
AC-(D)PHE-PRO-BOROHOMOLYS-OH,CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCCN)B(O)O,446.35700000000026,-0.2592999999999972,5.0,6.0,2.0,12.0,32.0,10.0,1.0,144.99,0.5909090909090909,[0 1 0 ... 0 0 0],0.6015,1
Ukrain cation,C[N+]1(CCNP(=S)(NCC[N+]2(C)Cc3c(ccc4c3OCO4)[C@@H]3[C@H]2c2cc4c(cc2C[C@@H]3O)OCO4)NCC[N+]2(C)Cc3c(ccc4c3OCO4)[C@@H]3[C@H]2c2cc4c(cc2C[C@@H]3O)OCO4)Cc2c(ccc3c2OCO3)[C@@H]2[C@H]1c1cc3c(cc1C[C@@H]2O)OCO3,1252.3699999999997,6.558800000000009,6.0,16.0,18.0,12.0,89.0,23.0,6.0,207.53999999999994,0.45454545454545453,[0 0 0 ... 0 0 0],0.6015,1
AC-(D)Phe-pro-borolys-OH,CC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCN)B(O)O,432.3300000000002,-0.6493999999999969,5.0,6.0,2.0,11.0,31.0,10.0,1.0,144.99,0.5714285714285714,[0 1 0 ... 0 0 0],0.6015,1
Cobicistat,CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,776.0420000000001,6.000700000000006,3.0,10.0,5.0,19.0,54.0,14.0,4.0,138.02,0.475,[0 1 0 ... 0 0 0],0.6013888888888889,1
