Ligand,Best_Affinity
173_alpha_D_glucose_6_phosphate.pdbqt,-5.291
174_beta_D_galactose_6_phosphate.pdbqt,-5.347
175_Baxdrostat.pdbqt,-10.044
176_Glycinamide_Ribonucleotide.pdbqt,-5.64
177_beta_D_arabinofuranose_5_phosphate.pdbqt,-5.523
178_Ribavirin_monophosphate.pdbqt,-6.948
179_Difamilast.pdbqt,-9.133
180_Fonadelpar.pdbqt,-9.646
181_2__3__Dideoxythymidine_5__Monophosphate.pdbqt,-7.361
182__1R__4__3_phenoxyphenyl__1_phosphonobutane_1_sulfonic_acid.pdbqt,-8.618
183_Pelitrexol.pdbqt,-9.494
184_4_Methyl_5_Hydroxyethylthiazole_Phosphate.pdbqt,-5.427
185_Octanoyl_Coenzyme_A.pdbqt,-2.23
186_Myristoyl_Coa.pdbqt,-1.371
187_Dodecyl_Coa.pdbqt,-1.927
188_2_OXOHEPTYLPHOSPHONIC_ACID.pdbqt,-5.519
189__2S__2_3_bis___3R_7R__3_7_11_15_tetramethylhexadecyl_oxy_propyl__2R__2_hydroxy_3___hydroxyphosphinato_oxy_propyl_phosphate.pdbqt,-2.519
190_Naldemedine.pdbqt,-6.244
191_Glucosamine_6_Phosphate.pdbqt,-5.512
192_Trehalose_6_Phosphate.pdbqt,-5.262
193_ALPHA_HYDROXYFARNESYLPHOSPHONIC_ACID.pdbqt,-6.909
194_PF_06291874.pdbqt,-10.307
195_Brilacidin.pdbqt,-0.514
196_3__Fluoro_3__deoxythymidine_5__monophosphate.pdbqt,-6.849
197_N_Pyridoxyl_7_Keto_8_Aminopelargonic_Acid_5__Monophosphate.pdbqt,-6.913
198_Tenofovir_exalidex.pdbqt,-7.263
199_MIP_1095_I_123.pdbqt,-7.711
200_3__deoxy_3__aminothymidine_monophosphate.pdbqt,-6.95
201_1__2_DEOXY_5_O_PHOSPHONO_BETA_D_ERYTHRO_PENTOFURANOSYL__4_METHYL_1H_INDOLE.pdbqt,-7.443
202_2__Phosphonooxy_Butanoic_Acid.pdbqt,-4.849
203_Platelet_Activating_Factor.pdbqt,-6.427
204_Pyridoxyl_Glutamic_Acid_5__Monophosphate.pdbqt,-5.863
205_N_Pyridoxyl_Threonine_5_Monophosphate.pdbqt,-5.989
206__1___3_Hydroxy_Methyl_5_Phosphonooxy_Methyl_Pyridin_4_Ylmethyl__Amino__Ethyl__Phosphonic_Acid.pdbqt,-6.413
207_Brincidofovir.pdbqt,-7.016
208_Ertiprotafib.pdbqt,-6.397
209__R__3_hydroxydecanoyl_CoA.pdbqt,-2.48
210_N_Pyridoxyl_2_Methylalanine_5_Phosphate.pdbqt,-7.369
211_2_METHYLTHIO_N6_ISOPENTENYL_ADENOSINE_5__MONOPHOSPHATE.pdbqt,-7.132
213_ZD_6126.pdbqt,-6.796
216_Ligandrol.pdbqt,-7.799
217__C8_R__hydantocidin_5__phosphate.pdbqt,-6.766
218__C8_S__Hydantocidin_5__phosphate.pdbqt,-6.945
219_Alpha_D_Glucose_1_6_Bisphosphate.pdbqt,-5.501
220_Leniolisib.pdbqt,-7.147
221_Encaleret.pdbqt,-9.181
222_4_NITRO_BENZYLPHOSPHONOBUTANOYL_GLYCINE.pdbqt,-7.268
223_Hexanoyl_CoA.pdbqt,-4.145
224_Andarine.pdbqt,-9.065
225_2__O_Methyl_3__Methyl_3__Deoxy_Arabinofuranosyl_Thymine_5__Phosphate.pdbqt,-6.414
226_5_FLUOROINDOLE_PROPANOL_PHOSPHATE.pdbqt,-7.204
227_Cyclic_3__5__thymidine_monophosphate.pdbqt,-6.8
228_Thymidine_3__5__Diphosphate.pdbqt,-7.242
229_1__O_Carboxy_Phenylamino__1_Deoxy_D_Ribulose_5_Phosphate.pdbqt,-6.186
230__R__Bicalutamide.pdbqt,-8.597
233_Bicalutamide.pdbqt,-9.285
234__4___2S__2_Acetamido_3____1S__1__3_carbamoyl_4__cyclohexylmethoxy_phenyl_ethyl_amino__3_oxopropyl__2_phosphonophenoxy_acetic_acid.pdbqt,-9.863
235_Iofolastat_I_123.pdbqt,-7.362
236_Mosliciguat.pdbqt,-4.236
237_Phosporic_Acid_Mono__3_4_Dihydroxy_5__5_Methoxy_Benzoimidazol_1_Yl__Tetrahydro_Furan_2_Ylmethyl__Ester.pdbqt,-6.94
238_Monoisopropylphosphorylserine.pdbqt,-5.253
239_Feruloyl_Coenzyme_A.pdbqt,-1.95
240_1_deoxy_1__2_6_8_trioxo_7__4__phosphonooxy_butyl__1_2_3_6_7_8_hexahydro_9H_purin_9_yl__D_arabinitol.pdbqt,-6.458
241_4__2_6_8_Trioxo_9___2S_3R_4R__2_3_4_5_Tetrahydroxypentyl__1_2_3_6_8_9_Hexahydro_7h_Purin_7_Yl_Butyl_Dihydrogen_Phosphate.pdbqt,-6.778
242__2S__2___HYDROXY_4_IODOBENZYL_PHOSPHORYL_METHYL_PENTANEDIOIC_ACID.pdbqt,-6.922
243_N__5__phosphopyridoxyl__L_alanine.pdbqt,-5.789
244_N__5__Phosphopyridoxyl__D_Alanine.pdbqt,-6.387
245_1_ACETYL_2_LYSO_SN_GLYCERO_3_PHOSPHOETHANOLAMINE.pdbqt,-5.26
247_N_6___pyridoxal_phosphate__L_lysine.pdbqt,-6.692
248___2R_3R_4S_5S__3_4_Dihydroxy_5__4_oxo_4_5_dihydro_1H_pyrrolo_3_2_d_pyrimidin_7_yl__2_pyrrolidinyl_methyl_dihydrogen_phosphate.pdbqt,-6.573
249_Imiglitazar.pdbqt,-10.263
